# airlines             package:nycflights13              R Documentation
#
# Airline names.
#
# Description:
#
#      Look up airline names from their carrier codes.
#
# Usage:
#
#      airlines
#
# Format:
#
#      Data frame with columns
#
#      carrier Two letter abbreviation
#
#      name Full name
#
# Source:
#
#      http://www.transtats.bts.gov/DL_SelectFields.asp?Table_ID=236
#
#      Hadley Wickam’s nycflights13-0.2.1 package, see http://cran.r-project.org/package=nycflights13
"carrier","name"
"9E","Endeavor Air Inc."
"AA","American Airlines Inc."
"AS","Alaska Airlines Inc."
"B6","JetBlue Airways"
"DL","Delta Air Lines Inc."
"EV","ExpressJet Airlines Inc."
"F9","Frontier Airlines Inc."
"FL","AirTran Airways Corporation"
"HA","Hawaiian Airlines Inc."
"MQ","Envoy Air"
"OO","SkyWest Airlines Inc."
"UA","United Air Lines Inc."
"US","US Airways Inc."
"VX","Virgin America"
"WN","Southwest Airlines Co."
"YV","Mesa Airlines Inc."
